id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
686575,10.0,MissedShots,0.7809999847412109,0.6669999694824219,0.018436796963214874,Gabriel,h,5613,SetPiece,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Riccardo Calafiori,BallTouch
686577,12.0,BlockedShot,0.8690000152587891,0.33099998474121095,0.05039796978235245,Bukayo Saka,h,7322,OpenPlay,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,,None
686578,13.0,MissedShots,0.9019999694824219,0.38,0.056986499577760696,Kai Havertz,h,5220,FromCorner,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Leandro Trossard,Pass
686579,14.0,ShotOnPost,0.7880000305175782,0.5679999923706055,0.03629991039633751,Leandro Trossard,h,7698,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Eberechi Eze,Pass
686581,28.0,SavedShot,0.815,0.5420000076293945,0.059477344155311584,Eberechi Eze,h,8706,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Riccardo Calafiori,HeadPass
686582,30.0,BlockedShot,0.9309999847412109,0.305,0.06065436825156212,Kai Havertz,h,5220,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Martin Odegaard,Pass
686583,36.0,BlockedShot,0.8640000152587891,0.55,0.09759426862001419,Martin Odegaard,h,2517,OpenPlay,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Riccardo Calafiori,Pass
686584,36.0,Goal,0.9580000305175781,0.48200000762939454,0.4991518259048462,Kai Havertz,h,5220,FromCorner,2025,Head,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Bukayo Saka,Cross
686585,43.0,MissedShots,0.8130000305175781,0.33799999237060546,0.040853630751371384,Bukayo Saka,h,7322,OpenPlay,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Kai Havertz,Pass
686587,53.0,ShotOnPost,0.8959999847412109,0.47400001525878904,0.11314421892166138,Eberechi Eze,h,8706,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Cristhian Mosquera,Cross
686588,54.0,SavedShot,0.9180000305175782,0.5070000076293946,0.06826144456863403,Eberechi Eze,h,8706,OpenPlay,2025,Head,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Kai Havertz,Chipped
686590,59.0,MissedShots,0.9730000305175781,0.3029999923706055,0.07139785587787628,Bukayo Saka,h,7322,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Kai Havertz,Pass
686591,87.0,MissedShots,0.8540000152587891,0.6140000152587891,0.054297611117362976,Leandro Trossard,h,7698,SetPiece,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,,None
686574,2.0,MissedShots,0.8119999694824219,0.505,0.03657277673482895,Florentino Luís,a,8969,FromCorner,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Zian Flemming,Pass
686576,10.0,BlockedShot,0.8719999694824219,0.30700000762939456,0.049780961126089096,Loum Tchaouna,a,9977,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Hannibal Mejbri,Pass
686580,26.0,MissedShots,0.909000015258789,0.6480000305175782,0.07085264474153519,Hannibal Mejbri,a,9558,OpenPlay,2025,LeftFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Loum Tchaouna,Cross
686586,50.0,MissedShots,0.7530000305175781,0.6519999694824219,0.016024146229028702,Jaidon Anthony,a,10746,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,,BallRecovery
686589,56.0,MissedShots,0.7469999694824219,0.544000015258789,0.021653294563293457,Hannibal Mejbri,a,9558,OpenPlay,2025,RightFoot,29139,Arsenal,Burnley,1,0,2026-05-18 19:00:00,Loum Tchaouna,Pass
